ID,Name,Seed,Deprecated,BPI Off,BPI Def,Record W,Record L,Conference W,Conference L,Vs Top 25 W,Vs Top 25 L,Last 10 W,Last 10 L,SOS Rank,SOR Rank,PPG,Opposing PPG,Field Goal Percentage,Three-Point Percentage,Free Throw Percentage
1,Duke,1,,12.9,12.8,32,2,17,1,12,2,10,0,,,82.3,63.1,49,35,72
2,Siena,16,,-1.9,0.1,23,11,13,7,0,0,6,4,,,70.5,65.7,46,30,77
3,Ohio State,8,,9.4,5.5,21,12,12,8,2,8,6,4,,,79.8,72.8,49,36,78
4,TCU,9,,3.6,7.8,22,11,11,7,3,6,8,2,,,78.3,72.1,45,33,71
5,St John's,5,,7.3,10.5,28,6,18,2,2,4,9,1,,,81.6,70,45,33,73
6,Northern Iowa,12,,0.2,7.1,23,12,11,9,0,0,7,3,,,69.9,61.3,48,36,70
7,Kansas,4,,6.1,10.5,23,10,12,6,6,6,5,5,,,75.6,69.4,45,35,77
8,CA Baptist,13,,-1.4,2.9,25,8,13,5,0,1,8,2,,,73,67.6,43,34,72
9,Louisville,6,,10.4,8.7,23,10,11,7,3,6,6,4,,,84.8,72.2,47,36,77
10,South Florida,11,,5.1,5.4,25,8,15,3,0,1,10,0,,,87.7,75.5,44,33,74
11,Michigan St,3,,8,10.4,25,7,15,5,5,4,6,4,,,78.9,68.4,47,36,76
12,N Dakota St,14,,1.2,0.7,27,7,14,2,0,0,8,2,,,80.7,69.6,47,36,72
13,UCLA,7,,8.8,6.4,23,11,13,7,4,6,6,4,,,77.7,71,47,38,77
14,UCF,10,,5.1,5.4,21,11,9,9,3,4,4,6,,,81,78.5,47,36,74
15,UConn,2,,9.1,10.3,29,5,17,3,6,3,7,3,,,77.5,65.1,48,35,72
16,Furman,15,,-0.7,0.6,22,12,10,8,0,0,6,4,,,76.5,70.5,48,33,69
17,Florida,1,,10.9,11.4,26,7,16,2,6,4,9,1,,,86.8,72,48,31,71
18,PV/LEH,16,,,,,,,,,,,,,,,,,,
19,Clemson,8,,5.9,8.7,24,10,12,6,3,5,4,6,,,74.2,66.7,45,34,73
20,Iowa,9,,8.2,6.2,21,12,10,10,1,8,3,7,,,75.2,66,49,36,77
